;uuid;giorno_min;giorno_max;durata_vita;conteggio_giorni_totale;site_giallozafferano;site_repubblica;site_subito;site_ansa;site_kijiji;site_corriere;site_ebay;site_pianetadonna;site_aranzulla;site_greenme;site_gazzetta;site_sole24ore;site_pourfemme;site_alfemminile;site_corrieresport;site_cookaround;site_autoscout;site_staseratv;prima_citta;browser_name;device_name;os_name
0;1;27/05/19;27/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Mobile Safari 12;Tablet;iPad
1;2;31/05/19;13/06/19;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RN;Firefox 4+;Desktop and Laptop;Windows 10
2;3;26/04/19;10/06/19;46;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
3;4;19/05/19;19/05/19;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
4;5;05/06/19;10/06/19;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PV;Safari 12;Desktop and Laptop;Mac OS X
5;6;06/06/19;06/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Explorer 11;Desktop and Laptop;Windows 7
6;7;15/05/19;20/05/19;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FI;Explorer 11;Desktop and Laptop;Windows 8.1
7;8;15/06/19;15/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome;Desktop and Laptop;Windows 7
8;9;16/06/19;16/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;ITA-MB;Explorer 11;Desktop and Laptop;Windows 7
9;10;07/04/18;15/06/19;435;276;0;69;0;1;0;2;0;0;0;0;11;0;0;0;0;0;0;0;ITA-MI;Mobile Safari 8;Mobile;iPhone
10;11;29/05/19;29/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Chrome Mobile;Mobile;Android
11;12;18/03/19;11/06/19;86;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Mobile Safari 12;Tablet;iPad
12;13;23/05/19;23/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
13;14;01/03/19;15/06/19;107;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BA;Chrome Mobile;Mobile;Android
14;15;08/04/19;06/06/19;60;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-LI;Chrome Mobile;Mobile;Android
15;16;13/06/19;13/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome;Desktop and Laptop;Linux
16;17;22/05/19;22/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BA;Chrome;Desktop and Laptop;Windows 7
17;18;03/05/19;02/06/19;31;7;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;ITA-BG;Chrome;Desktop and Laptop;Windows 10
18;19;25/05/19;25/05/19;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;ITA-GE;Explorer 11;Desktop and Laptop;
19;20;14/03/19;10/06/19;89;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;ITA-PC;Chrome;Tablet;Android
20;21;06/05/19;27/05/19;22;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
21;22;11/06/19;11/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BR;Mobile Safari 12;Mobile;iPhone
22;23;04/06/19;15/06/19;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FR;Chrome Mobile;Mobile;Android
23;24;20/05/19;20/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
24;25;08/06/19;15/06/19;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-VE;Safari 10;Desktop and Laptop;Mac OS X
25;26;07/04/19;27/05/19;51;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-NA;Chrome Mobile;Mobile;Android
26;27;15/05/19;25/05/19;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;;Mobile;iPhone
27;28;25/10/18;20/05/19;208;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FG;Edge;Desktop and Laptop;Windows 10
28;29;26/03/19;12/06/19;79;76;2;0;0;18;0;1;0;0;0;0;6;2;1;3;0;0;2;26;ITA-MN;Mobile Safari 12;Mobile;iPhone
29;30;30/05/19;30/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-LC;Mobile Safari 12;Mobile;iPhone
30;31;02/06/19;02/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome;Desktop and Laptop;Windows 10
31;32;11/06/19;11/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FI;Mobile Safari 11;Mobile;iPhone
32;33;05/05/19;16/06/19;43;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;ITA-BG;Chrome Mobile;Mobile;Android
33;34;13/06/19;13/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Chrome;Desktop and Laptop;Windows 10
34;35;26/05/19;26/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BO;Chrome Mobile;Mobile;Android
35;36;07/06/19;07/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
36;37;27/05/19;27/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
37;38;17/05/19;17/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
38;39;13/06/19;13/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BS;Mobile Safari 12;Mobile;iPhone
39;40;07/05/19;31/05/19;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
40;41;15/06/19;15/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Mobile Safari 11;Mobile;iPhone
41;42;19/05/19;19/05/19;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;Safari 11;Desktop and Laptop;Mac OS X
